strategy,seed,n_raw,outlier_pre,outlier_post,K,cv,div,excl,frex
off,42,44,0.35472767766754404,0.35472767766754404,29,0.5803981834239097,0.7637931034482759,0.44224705230235056,0.9879402064036967
c-tf-idf,42,44,0.35472767766754404,0.0,30,0.5158539890953644,0.69,0.34965362110611314,0.9810673555843051
embeddings,42,44,0.35472767766754404,0.0,30,0.5142482365452213,0.6733333333333333,0.33748777201166985,0.9809597605056602
probabilities,42,44,0.35472767766754404,0.0,30,0.5017145727702291,0.67,0.33082822014208335,0.981012156222875
distributions,42,44,0.35472767766754404,0.0,30,0.5262664099543287,0.6866666666666666,0.3510670782035933,0.9810391859917689
