strategy,threshold,n_seeds,K,outlier_post,C_v,Diversity,Exclus,FREX,Stability,Stab_std
c-tf-idf,0.0,1,30.0,0.0,0.5159,0.69,0.3497,0.9811,,
c-tf-idf,0.05,1,29.0,0.0051,0.563,0.7397,0.3834,0.9813,,
c-tf-idf,0.1,1,29.0,0.1342,0.5646,0.7448,0.3977,0.9835,,
c-tf-idf,0.15,1,29.0,0.2721,0.5801,0.75,0.4244,0.9862,,
c-tf-idf,0.2,1,29.0,0.3312,0.5844,0.7672,0.4394,0.9874,,
c-tf-idf,0.3,1,29.0,0.3541,0.5804,0.7638,0.4422,0.9879,,
distributions,0.0,1,30.0,0.0,0.5263,0.6867,0.3511,0.981,,
distributions,0.05,1,30.0,0.0,0.5185,0.69,0.3468,0.9811,,
distributions,0.1,1,29.0,0.0032,0.5453,0.7276,0.3748,0.9811,,
distributions,0.15,1,29.0,0.0273,0.5446,0.7155,0.3698,0.9814,,
distributions,0.2,1,29.0,0.1006,0.5561,0.7328,0.375,0.9827,,
distributions,0.3,1,29.0,0.2865,0.5764,0.7552,0.4265,0.9865,,
embeddings,0.0,1,30.0,0.0,0.5142,0.6733,0.3375,0.981,,
embeddings,0.2,1,30.0,0.0,0.5142,0.6733,0.3375,0.981,,
embeddings,0.3,1,30.0,0.0,0.5142,0.6733,0.3375,0.981,,
embeddings,0.4,1,30.0,0.0,0.5142,0.6733,0.3375,0.981,,
embeddings,0.5,1,29.0,0.0126,0.5567,0.7259,0.3689,0.9814,,
embeddings,0.6,1,29.0,0.1618,0.5792,0.7397,0.3987,0.9843,,
embeddings,0.7,1,29.0,0.3306,0.5844,0.7655,0.4365,0.9875,,
embeddings,0.8,1,29.0,0.3547,0.5804,0.7638,0.4422,0.9879,,
embeddings,0.9,1,29.0,0.3547,0.5804,0.7638,0.4422,0.9879,,
probabilities,0.0,1,30.0,0.0,0.5017,0.67,0.3308,0.981,,
probabilities,0.05,1,29.0,0.1357,0.5561,0.7431,0.3985,0.9839,,
probabilities,0.1,1,29.0,0.2387,0.5703,0.7534,0.4209,0.9859,,
probabilities,0.15,1,29.0,0.2881,0.5763,0.7586,0.4284,0.9868,,
probabilities,0.2,1,29.0,0.3189,0.5796,0.7672,0.4368,0.9873,,
probabilities,0.3,1,29.0,0.3428,0.582,0.7638,0.4409,0.9878,,
