n_neighbors,min_cluster_size,min_samples,cluster_selection_method,reduce_nr,n_seeds,K,outlier_pre,outlier_post,C_v,Diversity,Exclus,FREX,Stability,Stab_std
10,8,,eom,10,1,9.0,0.2339,0.2339,0.5293,0.85,0.5708,0.9522,,
10,8,,eom,15,1,14.0,0.2339,0.2339,0.5335,0.825,0.5251,0.9701,,
10,8,,eom,20,1,19.0,0.2339,0.2339,0.5538,0.8237,0.5174,0.9778,,
10,8,,eom,25,1,24.0,0.2339,0.2339,0.5561,0.8021,0.4956,0.9824,,
10,8,,eom,30,1,29.0,0.2339,0.2339,0.5698,0.8052,0.4809,0.9856,,
10,8,,leaf,10,1,9.0,0.2737,0.2737,0.5246,0.8389,0.5571,0.9543,,
10,8,,leaf,15,1,14.0,0.2737,0.2737,0.5228,0.8214,0.5079,0.9714,,
10,8,,leaf,20,1,19.0,0.2737,0.2737,0.5094,0.7921,0.4844,0.9789,,
10,8,,leaf,25,1,24.0,0.2737,0.2737,0.5387,0.775,0.4723,0.9833,,
10,8,,leaf,30,1,29.0,0.2737,0.2737,0.5537,0.7862,0.4825,0.9862,,
10,15,,eom,10,1,9.0,0.2152,0.2152,0.4998,0.8,0.5188,0.9522,,
10,15,,eom,15,1,14.0,0.2152,0.2152,0.5301,0.7964,0.4885,0.9698,,
10,15,,eom,20,1,19.0,0.2152,0.2152,0.5226,0.8,0.4709,0.9778,,
10,15,,eom,25,1,24.0,0.2152,0.2152,0.5126,0.8042,0.4613,0.9824,,
10,15,,eom,30,1,29.0,0.2152,0.2152,0.5155,0.7845,0.4447,0.9854,,
10,15,,leaf,10,1,9.0,0.2679,0.2679,0.5738,0.8556,0.5849,0.9538,,
10,15,,leaf,15,1,14.0,0.2679,0.2679,0.5561,0.8214,0.5281,0.9714,,
10,15,,leaf,20,1,19.0,0.2679,0.2679,0.5623,0.8,0.5044,0.979,,
10,15,,leaf,25,1,24.0,0.2679,0.2679,0.5553,0.7979,0.4879,0.9835,,
10,15,,leaf,30,1,29.0,0.2679,0.2679,0.5495,0.7914,0.4617,0.9863,,
10,25,,eom,10,1,9.0,0.1988,0.1988,0.4836,0.8167,0.5253,0.951,,
10,25,,eom,15,1,14.0,0.1988,0.1988,0.5036,0.7964,0.4976,0.9681,,
10,25,,eom,20,1,19.0,0.1988,0.1988,0.5084,0.7632,0.4427,0.9767,,
10,25,,eom,25,1,24.0,0.1988,0.1988,0.5414,0.7833,0.4348,0.9818,,
10,25,,eom,30,1,29.0,0.1988,0.1988,0.5525,0.7897,0.4458,0.9849,,
10,25,,leaf,10,1,9.0,0.2798,0.2798,0.5303,0.85,0.58,0.9554,,
10,25,,leaf,15,1,14.0,0.2798,0.2798,0.5248,0.8357,0.5201,0.9715,,
10,25,,leaf,20,1,19.0,0.2798,0.2798,0.5312,0.8,0.4814,0.9791,,
10,25,,leaf,25,1,24.0,0.2798,0.2798,0.5386,0.7875,0.4515,0.9834,,
10,25,,leaf,30,1,29.0,0.2798,0.2798,0.5599,0.7897,0.4565,0.9863,,
10,30,,eom,10,1,9.0,0.1784,0.1784,0.4811,0.7722,0.5145,0.9461,,
