macro_k,n_macros_real,subtopics_dist,min_subtopics,max_subtopics,docs_dist
4,4,"[12, 6, 4, 2]",2,12,"[2500, 1074, 215, 80]"
5,5,"[12, 4, 3, 3, 2]",2,12,"[2500, 694, 380, 215, 80]"
6,6,"[12, 3, 3, 2, 2, 2]",2,12,"[2500, 694, 380, 169, 80, 46]"
7,7,"[9, 3, 3, 3, 2, 2, 2]",2,9,"[2272, 694, 380, 228, 169, 80, 46]"
8,8,"[9, 3, 3, 2, 2, 2, 2, 1]",1,9,"[2272, 694, 370, 228, 169, 80, 46, 10]"
10,10,"[9, 3, 2, 2, 2, 2, 1, 1, 1, 1]",1,9,"[2272, 679, 370, 228, 169, 80, 32, 15, 14, 10]"
12,12,"[8, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1]",1,8,"[2191, 679, 370, 228, 169, 81, 60, 32, 20, 15, 14, 10]"
