category,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
ambiente,0,3,1,1,293,1,1,3,26,2,1,0,2,0,1,44,1,0,0,2,1,0,1,0
ciencia,1,50,21,0,2,2,2,0,155,165,0,0,0,0,2,8,0,0,0,0,0,0,0,8
cotidiano,14,17,31,3,17,9,120,120,2,1,1,13,0,2,1,2,0,0,2,7,18,0,0,2
educacao,1,276,12,1,1,2,7,1,0,0,1,0,0,78,24,0,0,0,0,0,0,0,0,0
equilibrioesaude,4,4,314,0,2,7,4,32,10,0,2,3,0,0,2,0,0,0,29,0,0,0,0,0
esporte,2,0,1,353,1,0,13,8,1,0,3,0,1,0,1,1,2,0,0,0,0,14,0,0
ilustrada,5,39,3,0,0,294,8,7,0,2,2,1,0,0,4,0,0,0,0,0,1,0,0,0
mercado,140,10,6,0,5,0,2,10,1,2,5,84,72,0,3,2,0,37,0,0,0,0,3,0
mundo,61,8,13,1,4,3,50,5,0,3,111,5,9,0,7,3,38,0,1,15,0,0,10,0
poder,300,10,9,0,11,2,6,10,0,0,2,1,0,1,21,0,0,0,0,0,0,1,0,0
