top_n,C_v,Topic_Diversity,Sem_Coherence,Exclusivity,FREX
10,0.62,0.8917,0.6667,0.5423,0.9824
15,0.5694,0.8444,0.6569,0.5098,0.9822
20,0.549,0.8104,0.6543,0.486,0.9821
25,0.5365,0.7817,0.6497,0.4721,0.9819
30,0.5327,0.7597,0.647,0.4608,0.9818
50,0.5327,0.4558,0.647,0.4608,0.9818
100,0.5327,0.2279,0.647,0.4608,0.9818
