n_neighbors,min_cluster_size,min_samples,cluster_selection_method,reduce_nr,n_seeds,K,outlier_pre,outlier_post,C_v,Diversity,Exclus,FREX,Stability,Stab_std
10,25,5.0,eom,20,1,19.0,0.1729,0.1729,0.6465,0.9395,0.8157,0.9775,,
10,25,5.0,eom,25,1,24.0,0.1729,0.1729,0.6408,0.9229,0.7818,0.9835,,
10,25,5.0,eom,30,1,29.0,0.1729,0.1729,0.5977,0.9069,0.7529,0.9867,,
10,25,5.0,leaf,10,1,9.0,0.3465,0.3465,0.6953,0.9667,0.9096,0.9643,,
10,25,5.0,leaf,15,1,14.0,0.3465,0.3465,0.5507,0.9393,0.8655,0.9788,,
10,25,5.0,leaf,20,1,19.0,0.3465,0.3465,0.5995,0.9053,0.7967,0.9846,,
10,25,5.0,leaf,25,1,24.0,0.3465,0.3465,0.6244,0.8979,0.763,0.9878,,
10,25,5.0,leaf,30,1,29.0,0.3465,0.3465,0.6322,0.8879,0.73,0.9899,,
10,25,15.0,eom,10,1,9.0,0.1657,0.1657,0.6311,0.9722,0.9082,0.9536,,
10,25,15.0,eom,15,1,14.0,0.1657,0.1657,0.6114,0.9571,0.8686,0.9702,,
10,25,15.0,eom,20,1,19.0,0.1657,0.1657,0.6695,0.9105,0.7938,0.9795,,
10,25,15.0,eom,25,1,24.0,0.1657,0.1657,0.6301,0.9,0.7588,0.9841,,
10,25,15.0,eom,30,1,29.0,0.1657,0.1657,0.6408,0.8897,0.7279,0.9867,,
10,25,15.0,leaf,10,1,9.0,0.4165,0.4165,0.6808,0.9722,0.9112,0.9692,,
10,25,15.0,leaf,15,1,14.0,0.4165,0.4165,0.5799,0.9321,0.8497,0.9809,,
10,25,15.0,leaf,20,1,19.0,0.4165,0.4165,0.5813,0.9079,0.7955,0.9867,,
10,25,15.0,leaf,25,1,24.0,0.4165,0.4165,0.5921,0.8979,0.7745,0.9898,,
10,25,15.0,leaf,30,1,29.0,0.4165,0.4165,0.5964,0.8931,0.7486,0.9913,,
10,25,,eom,10,1,9.0,0.1351,0.1351,0.7454,0.9667,0.8991,0.9473,,
10,25,,eom,15,1,14.0,0.1351,0.1351,0.6982,0.9679,0.8648,0.9645,,
10,25,,eom,20,1,19.0,0.1351,0.1351,0.6537,0.9211,0.7973,0.9767,,
10,25,,eom,25,1,24.0,0.1351,0.1351,0.6555,0.9146,0.7794,0.9831,,
10,25,,eom,30,1,29.0,0.1351,0.1351,0.6422,0.8914,0.7324,0.9865,,
10,25,,leaf,10,1,9.0,0.4211,0.4211,0.6647,0.9667,0.9089,0.9714,,
10,25,,leaf,15,1,14.0,0.4211,0.4211,0.6007,0.95,0.8636,0.9826,,
10,25,,leaf,20,1,19.0,0.4211,0.4211,0.6639,0.9158,0.8094,0.9874,,
10,25,,leaf,25,1,24.0,0.4211,0.4211,0.6687,0.9104,0.778,0.9899,,
10,25,,leaf,30,1,29.0,0.4211,0.4211,0.6787,0.8845,0.7382,0.9915,,
10,30,5.0,eom,10,1,9.0,0.1741,0.1741,0.7346,0.9722,0.9102,0.9527,,
10,30,5.0,eom,15,1,14.0,0.1741,0.1741,0.6151,0.95,0.8796,0.9698,,
