strategy,seed,n_raw,outlier_pre,outlier_post,K,cv,div,excl,frex
off,42,187,0.2794234479627738,0.2794234479627738,24,0.5608063305755556,0.9,0.7719484374223722,0.9856421134190058
c-tf-idf,42,187,0.2794234479627738,0.0,25,0.465803506557917,0.908,0.7227824890194371,0.9796015679640014
embeddings,42,187,0.2794234479627738,0.0,25,0.44076436643215494,0.872,0.6871289969066043,0.9792276818130966
probabilities,42,187,0.2794234479627738,0.0,25,0.435666101737339,0.894,0.6891564119435171,0.9796657383382162
distributions,42,187,0.2794234479627738,0.0,25,0.4771536150085261,0.908,0.7191766858194982,0.9797254724220756
