n_neighbors,min_cluster_size,min_samples,cluster_selection_method,reduce_nr,seed,n_raw,outlier_pre,outlier_post,K,cv,div,excl,frex
10,8,,leaf,10,42,230,0.40551583248212464,0.40551583248212464,9,0.5077733944565868,0.9166666666666666,0.851684902860863,0.9662455082756867
10,8,,leaf,15,42,230,0.40551583248212464,0.40551583248212464,14,0.48951957818858205,0.9142857142857143,0.8176476214568863,0.9804549756322573
10,8,,leaf,20,42,230,0.40551583248212464,0.40551583248212464,19,0.5123011368445943,0.9052631578947369,0.7725667374611894,0.9855403961847699
10,8,,leaf,25,42,230,0.40551583248212464,0.40551583248212464,24,0.5449692110158604,0.8979166666666667,0.7544677495426105,0.9890052653583403
10,8,,leaf,30,42,230,0.40551583248212464,0.40551583248212464,29,0.5621249013327395,0.8931034482758621,0.7425034141501976,0.9908082126940353
10,8,,eom,10,42,187,0.2794234479627738,0.2794234479627738,9,0.604185882289614,0.9222222222222223,0.8492204564851841,0.9592309012125969
10,8,,eom,15,42,187,0.2794234479627738,0.2794234479627738,14,0.5778906588175861,0.9035714285714286,0.8171071061328192,0.9767522123227704
10,8,,eom,20,42,187,0.2794234479627738,0.2794234479627738,19,0.5544392028662992,0.8921052631578947,0.7788522676268436,0.9814145078910382
10,8,,eom,25,42,187,0.2794234479627738,0.2794234479627738,24,0.5608063305755556,0.9,0.7719484374223722,0.9856421134190058
10,8,,eom,30,42,187,0.2794234479627738,0.2794234479627738,29,0.5856648164297685,0.8931034482758621,0.7506335914983702,0.9886445839410569
10,8,5.0,leaf,10,42,285,0.38599477925320624,0.38599477925320624,9,0.6695282409261152,0.9444444444444444,0.8580071566231932,0.9649482886244153
10,8,5.0,leaf,15,42,285,0.38599477925320624,0.38599477925320624,14,0.6860880772809368,0.9357142857142857,0.8378410602363637,0.9799950091632141
10,8,5.0,leaf,20,42,285,0.38599477925320624,0.38599477925320624,19,0.6277559708585093,0.9315789473684211,0.8186146544217544,0.9850098492463317
10,8,5.0,leaf,25,42,285,0.38599477925320624,0.38599477925320624,24,0.6172998368436716,0.90625,0.7840800190464602,0.9880403614368505
10,8,5.0,leaf,30,42,285,0.38599477925320624,0.38599477925320624,29,0.6000522850816699,0.896551724137931,0.7525621957770242,0.9902870919959337
10,8,5.0,eom,10,42,235,0.26739303143797527,0.26739303143797527,9,0.6456213155235632,0.9611111111111111,0.8843492977646374,0.9600342669422459
10,8,5.0,eom,15,42,235,0.26739303143797527,0.26739303143797527,14,0.5589672043276577,0.9321428571428572,0.8335628266354315,0.9759983492843691
10,8,5.0,eom,20,42,235,0.26739303143797527,0.26739303143797527,19,0.644711459095306,0.9263157894736842,0.8193299694219701,0.9817362434529197
10,8,5.0,eom,25,42,235,0.26739303143797527,0.26739303143797527,24,0.5941789327011252,0.90625,0.7720509624767944,0.9861336034697926
10,8,5.0,eom,30,42,235,0.26739303143797527,0.26739303143797527,29,0.5578081741293048,0.8879310344827587,0.7410100342304096,0.9885526369343445
10,8,15.0,leaf,10,42,139,0.446033367381682,0.446033367381682,9,0.5066665245050809,0.9444444444444444,0.8552585249548726,0.9674032839278682
10,8,15.0,leaf,15,42,139,0.446033367381682,0.446033367381682,14,0.5491641848860822,0.9321428571428572,0.8338463426901447,0.981766426406577
10,8,15.0,leaf,20,42,139,0.446033367381682,0.446033367381682,19,0.5214417796366595,0.9236842105263158,0.7970073720101322,0.9870475190304158
10,8,15.0,leaf,25,42,139,0.446033367381682,0.446033367381682,24,0.5653704130969429,0.8916666666666667,0.7527488986706034,0.9897334420586615
10,8,15.0,leaf,30,42,139,0.446033367381682,0.446033367381682,29,0.6090343993370184,0.8879310344827587,0.7384443694780302,0.9914568332994474
10,8,15.0,eom,10,42,109,0.30110089660651457,0.30110089660651457,9,0.5595670822510448,0.9666666666666667,0.8928680770202158,0.9623377601196026
10,8,15.0,eom,15,42,109,0.30110089660651457,0.30110089660651457,14,0.544815895981659,0.9357142857142857,0.8359854902946926,0.9770193008908619
10,8,15.0,eom,20,42,109,0.30110089660651457,0.30110089660651457,19,0.5766762508417035,0.8947368421052632,0.7626669747674422,0.9836288237578321
10,8,15.0,eom,25,42,109,0.30110089660651457,0.30110089660651457,24,0.6337540034439028,0.9,0.7587215615525764,0.9871110595595803
10,8,15.0,eom,30,42,109,0.30110089660651457,0.30110089660651457,29,0.6270936675706785,0.8775862068965518,0.7341737402296422,0.989131682323839
10,15,,leaf,10,42,126,0.4198161389172625,0.4198161389172625,9,0.5238765445003731,0.9111111111111111,0.846465618441484,0.9678040080331297
10,15,,leaf,15,42,126,0.4198161389172625,0.4198161389172625,14,0.6135000302059345,0.9321428571428572,0.8482357922565323,0.9811822195347514
10,15,,leaf,20,42,126,0.4198161389172625,0.4198161389172625,19,0.5496819617906419,0.9052631578947369,0.7786567901783423,0.9866251295178186
