strategy,n_seeds,K,outlier_pre,outlier_post,C_v,Diversity,Exclus,FREX,Stability,Stab_std
off,1,29.0,0.3274,0.3274,0.6099,0.7966,0.4843,0.9877,,
c-tf-idf,1,29.0,0.3274,0.0,0.5217,0.6931,0.3699,0.9806,,
embeddings,1,29.0,0.3274,0.0,0.5066,0.669,0.3442,0.9805,,
probabilities,1,29.0,0.3274,0.0,0.4893,0.6724,0.3475,0.9806,,
distributions,1,29.0,0.3274,0.0,0.5194,0.6879,0.3685,0.9805,,
