n_neighbors,min_cluster_size,min_samples,cluster_selection_method,reduce_nr,n_seeds,K,outlier_pre,outlier_post,C_v,Diversity,Exclus,FREX,Stability,Stab_std
15,8,,leaf,10,1,9.0,0.329,0.329,0.5016,0.8111,0.5348,0.9569,,
15,8,,leaf,15,1,14.0,0.329,0.329,0.5404,0.8429,0.5757,0.9727,,
15,8,,leaf,20,1,19.0,0.329,0.329,0.5199,0.8053,0.5117,0.9804,,
15,8,,leaf,25,1,24.0,0.329,0.329,0.5248,0.7958,0.5002,0.9845,,
15,8,,leaf,30,1,29.0,0.329,0.329,0.5376,0.8017,0.4958,0.9872,,
15,15,,eom,10,1,9.0,0.2191,0.2191,0.4801,0.8278,0.5446,0.9522,,
15,15,,eom,15,1,14.0,0.2191,0.2191,0.5432,0.8536,0.5634,0.9697,,
15,15,,eom,20,1,19.0,0.2191,0.2191,0.5382,0.8395,0.5315,0.9777,,
15,15,,eom,25,1,24.0,0.2191,0.2191,0.557,0.8229,0.5028,0.9825,,
15,15,,eom,30,1,29.0,0.2191,0.2191,0.5521,0.7914,0.4681,0.9855,,
15,15,,leaf,10,1,9.0,0.3134,0.3134,0.5098,0.8167,0.5418,0.9572,,
15,15,,leaf,15,1,14.0,0.3134,0.3134,0.5332,0.8286,0.5405,0.9727,,
15,15,,leaf,20,1,19.0,0.3134,0.3134,0.5528,0.8158,0.5023,0.9803,,
15,15,,leaf,25,1,24.0,0.3134,0.3134,0.5734,0.8125,0.5038,0.9844,,
15,15,,leaf,30,1,29.0,0.3134,0.3134,0.5781,0.8103,0.4822,0.987,,
15,25,,eom,10,1,9.0,0.2405,0.2405,0.5317,0.85,0.5823,0.9529,,
15,25,,eom,15,1,14.0,0.2405,0.2405,0.524,0.8143,0.5152,0.9705,,
15,25,,eom,20,1,19.0,0.2405,0.2405,0.5394,0.8079,0.5011,0.9782,,
15,25,,eom,25,1,24.0,0.2405,0.2405,0.5488,0.7729,0.453,0.9829,,
15,25,,eom,30,1,29.0,0.2405,0.2405,0.5658,0.7724,0.4415,0.9858,,
15,25,,leaf,10,1,9.0,0.3005,0.3005,0.553,0.85,0.6095,0.955,,
15,25,,leaf,15,1,14.0,0.3005,0.3005,0.5482,0.8357,0.5471,0.9726,,
15,25,,leaf,20,1,19.0,0.3005,0.3005,0.5408,0.7895,0.485,0.9798,,
15,25,,leaf,25,1,24.0,0.3005,0.3005,0.5462,0.7688,0.4546,0.984,,
15,25,,leaf,30,1,29.0,0.3005,0.3005,0.5667,0.7897,0.4637,0.9869,,
15,30,,eom,10,1,9.0,0.2253,0.2253,0.5146,0.8111,0.5386,0.952,,
15,30,,eom,15,1,14.0,0.2253,0.2253,0.4981,0.7821,0.4844,0.9699,,
15,30,,eom,20,1,19.0,0.2253,0.2253,0.5201,0.7658,0.4448,0.9779,,
15,30,,eom,25,1,24.0,0.2253,0.2253,0.5412,0.7708,0.4354,0.9825,,
15,30,,eom,30,1,29.0,0.2253,0.2253,0.5573,0.781,0.4421,0.9856,,
15,30,,leaf,10,1,9.0,0.3039,0.3039,0.5171,0.8611,0.5763,0.957,,
15,30,,leaf,15,1,14.0,0.3039,0.3039,0.5124,0.8071,0.492,0.9731,,
15,30,,leaf,20,1,19.0,0.3039,0.3039,0.5225,0.7816,0.4566,0.98,,
15,30,,leaf,25,1,24.0,0.3039,0.3039,0.5522,0.7875,0.4647,0.9843,,
15,30,,leaf,30,1,29.0,0.3039,0.3039,0.5629,0.7793,0.4381,0.9869,,
15,35,,eom,10,1,9.0,0.2219,0.2219,0.4746,0.7889,0.5087,0.952,,
15,35,,eom,15,1,14.0,0.2219,0.2219,0.5065,0.7929,0.4932,0.9697,,
15,35,,eom,20,1,19.0,0.2219,0.2219,0.527,0.7737,0.4483,0.9777,,
15,35,,eom,25,1,24.0,0.2219,0.2219,0.5503,0.7854,0.4456,0.9824,,
15,35,,eom,30,1,29.0,0.2219,0.2219,0.5639,0.7741,0.4288,0.9854,,
15,35,,leaf,10,1,9.0,0.3201,0.3201,0.5174,0.8611,0.5762,0.9577,,
15,35,,leaf,15,1,14.0,0.3201,0.3201,0.4932,0.7964,0.4784,0.9734,,
