strategy,seed,n_raw,outlier_pre,outlier_post,K,cv,div,excl,frex
off,42,41,0.3273942093541203,0.3273942093541203,29,0.6099086301450596,0.7965517241379311,0.4842716620573673,0.9876804335173586
c-tf-idf,42,41,0.3273942093541203,0.0,29,0.5216617211361979,0.6931034482758621,0.3699359810083634,0.9805958395807516
embeddings,42,41,0.3273942093541203,0.0,29,0.5066449538605299,0.6689655172413793,0.34417271871344707,0.980538808390003
probabilities,42,41,0.3273942093541203,0.0,29,0.4893461583745714,0.6724137931034483,0.34754151275382006,0.9806162898837966
distributions,42,41,0.3273942093541203,0.0,29,0.5194464137440533,0.6879310344827586,0.36852523640560025,0.9805140284121383
