n_neighbors,min_cluster_size,min_samples,cluster_selection_method,reduce_nr,seed,n_raw,outlier_pre,outlier_post,K,cv,div,excl,frex
10,8,,leaf,10,42,207,0.2909495849362219,0.2909495849362219,9,0.5369122109219111,0.85,0.5725844967020985,0.9523131372724359
10,8,,leaf,15,42,207,0.2909495849362219,0.2909495849362219,14,0.5386817492676997,0.8178571428571428,0.5135447631088766,0.9716560226424097
10,8,,leaf,20,42,207,0.2909495849362219,0.2909495849362219,19,0.5254684500122023,0.781578947368421,0.4769680528189286,0.9791814479294088
10,8,,leaf,25,42,207,0.2909495849362219,0.2909495849362219,24,0.5452365604751699,0.7833333333333333,0.48506271479679103,0.9834889411472196
10,8,,leaf,30,42,207,0.2909495849362219,0.2909495849362219,29,0.5645671992298135,0.7931034482758621,0.49324091987655966,0.9863860257393968
10,8,,eom,10,42,179,0.21461834379429034,0.21461834379429034,9,0.5205524275502289,0.8333333333333334,0.5874275989628501,0.9495957187679652
10,8,,eom,15,42,179,0.21461834379429034,0.21461834379429034,14,0.5300268784218863,0.8178571428571428,0.5329222964555623,0.9682293356353372
10,8,,eom,20,42,179,0.21461834379429034,0.21461834379429034,19,0.5402298792682627,0.8078947368421052,0.5198889186788622,0.9767699936082237
10,8,,eom,25,42,179,0.21461834379429034,0.21461834379429034,24,0.5844656611247689,0.8083333333333333,0.5211836189003634,0.9818014719185729
10,8,,eom,30,42,179,0.21461834379429034,0.21461834379429034,29,0.5803255051427144,0.7913793103448276,0.49576847875772917,0.9850627571556196
10,15,,leaf,10,42,119,0.29945333063373153,0.29945333063373153,9,0.5157800819480692,0.8055555555555556,0.5212911253521597,0.9554044972170901
10,15,,leaf,15,42,119,0.29945333063373153,0.29945333063373153,14,0.5292571824745439,0.7892857142857143,0.5009926672047086,0.9721378005852265
10,15,,leaf,20,42,119,0.29945333063373153,0.29945333063373153,19,0.5327633119226661,0.7763157894736842,0.4888658818030562,0.9796206587291598
10,15,,leaf,25,42,119,0.29945333063373153,0.29945333063373153,24,0.5521779947673631,0.80625,0.5030432478433916,0.9838734922670493
10,15,,leaf,30,42,119,0.29945333063373153,0.29945333063373153,29,0.5729891857989703,0.8051724137931034,0.49087906692262095,0.986660717978392
10,15,,eom,10,42,98,0.21056894108119054,0.21056894108119054,9,0.49755143559534687,0.8111111111111111,0.5084805570802713,0.950820924696586
10,15,,eom,15,42,98,0.21056894108119054,0.21056894108119054,14,0.5237490517490545,0.8214285714285714,0.5023313552732315,0.9697392174713552
10,15,,eom,20,42,98,0.21056894108119054,0.21056894108119054,19,0.5492563655530551,0.8157894736842105,0.4862997389090151,0.9776346001540551
10,15,,eom,25,42,98,0.21056894108119054,0.21056894108119054,24,0.5440673746695558,0.8041666666666667,0.47978333190372163,0.9820612073290319
10,15,,eom,30,42,98,0.21056894108119054,0.21056894108119054,29,0.5367010606934546,0.7844827586206896,0.4604729187714162,0.9851455692993042
10,25,,leaf,10,42,64,0.28588783154484715,0.28588783154484715,9,0.5510052846219403,0.8833333333333333,0.6128898917359963,0.9543237851063276
10,25,,leaf,15,42,64,0.28588783154484715,0.28588783154484715,14,0.5231576464570565,0.8178571428571428,0.5190119006016961,0.9719209399856263
10,25,,leaf,20,42,64,0.28588783154484715,0.28588783154484715,19,0.5395849117335133,0.781578947368421,0.4751404214500043,0.9791074948937198
10,25,,leaf,25,42,64,0.28588783154484715,0.28588783154484715,24,0.5421402322986996,0.7770833333333333,0.4582357642644089,0.9836401035242487
10,25,,leaf,30,42,64,0.28588783154484715,0.28588783154484715,29,0.5586492629368455,0.7741379310344828,0.4549674480285437,0.9864811376217063
10,25,,eom,10,42,55,0.21299858270905042,0.21299858270905042,9,0.5278760345562671,0.8388888888888889,0.5791133513687812,0.9509316398760692
10,25,,eom,15,42,55,0.21299858270905042,0.21299858270905042,14,0.5344110947882066,0.8178571428571428,0.5304483860048576,0.9688839390606744
10,25,,eom,20,42,55,0.21299858270905042,0.21299858270905042,19,0.5398810655917776,0.7973684210526316,0.4939609913176653,0.977328612153782
10,25,,eom,25,42,55,0.21299858270905042,0.21299858270905042,24,0.5457257218503696,0.7854166666666667,0.46670296130555,0.982106850239299
10,25,,eom,30,42,55,0.21299858270905042,0.21299858270905042,29,0.5474535798381295,0.7706896551724138,0.43059722470482975,0.9851655305233777
10,30,,leaf,10,42,56,0.25895930350273333,0.25895930350273333,9,0.5130509259526422,0.85,0.5693364797171823,0.9541373039492629
10,30,,leaf,15,42,56,0.25895930350273333,0.25895930350273333,14,0.5177304890463357,0.8035714285714286,0.501202732023243,0.9708054205052151
10,30,,leaf,20,42,56,0.25895930350273333,0.25895930350273333,19,0.5365085236926256,0.7894736842105263,0.4749329273543537,0.9785448111173702
10,30,,leaf,25,42,56,0.25895930350273333,0.25895930350273333,24,0.5456678705415988,0.7875,0.46722569857460344,0.9830311731113142
10,30,,leaf,30,42,56,0.25895930350273333,0.25895930350273333,29,0.5503861475310747,0.7775862068965518,0.4356905492934023,0.9859471462421413
10,30,,eom,10,42,51,0.22069244786394007,0.22069244786394007,9,0.4884312707487881,0.8388888888888889,0.5413179109040601,0.9516191516749879
10,30,,eom,15,42,51,0.22069244786394007,0.22069244786394007,14,0.5006517604311446,0.7928571428571428,0.48463660518942747,0.9694841516139034
10,30,,eom,20,42,51,0.22069244786394007,0.22069244786394007,19,0.510352852673389,0.7684210526315789,0.45066225183949404,0.9775244702004631
10,30,,eom,25,42,51,0.22069244786394007,0.22069244786394007,24,0.5161352296080391,0.7541666666666667,0.41742608315054447,0.9821887802540289
10,30,,eom,30,42,51,0.22069244786394007,0.22069244786394007,29,0.5189442973820653,0.7586206896551724,0.4046471699626848,0.9852855832852737
10,35,,leaf,10,42,48,0.27859890666126746,0.27859890666126746,9,0.5323234909572301,0.8555555555555555,0.5856909300529844,0.9552065843119782
10,35,,leaf,15,42,48,0.27859890666126746,0.27859890666126746,14,0.5371224246514786,0.8107142857142857,0.5070885426529668,0.9718617566998894
10,35,,leaf,20,42,48,0.27859890666126746,0.27859890666126746,19,0.5333156594517727,0.8,0.4760383252182379,0.9792865930819593
10,35,,leaf,25,42,48,0.27859890666126746,0.27859890666126746,24,0.54826749040814,0.7958333333333333,0.44882640477699537,0.9835971071639125
10,35,,leaf,30,42,48,0.27859890666126746,0.27859890666126746,29,0.5593786957713784,0.7793103448275862,0.4311080552930406,0.9864735518543578
10,35,,eom,10,42,38,0.17635148815549706,0.17635148815549706,9,0.537570364710883,0.8166666666666667,0.5373216136663149,0.9450087532309485
10,35,,eom,15,42,38,0.17635148815549706,0.17635148815549706,14,0.5458754672505095,0.7857142857142857,0.4799583975380182,0.9675520080570016
10,35,,eom,20,42,38,0.17635148815549706,0.17635148815549706,19,0.5442268349299123,0.7657894736842106,0.4416699907728199,0.9762635250830857
10,35,,eom,25,42,38,0.17635148815549706,0.17635148815549706,24,0.5306822725747843,0.7625,0.4183895254399874,0.9812099559886894
10,35,,eom,30,42,38,0.17635148815549706,0.17635148815549706,29,0.5415298906629171,0.7413793103448276,0.4003918365063814,0.9844268441611284
10,40,,leaf,10,42,43,0.2907471148005669,0.2907471148005669,9,0.531267846274273,0.8555555555555555,0.5860551298332755,0.9557161325424465
10,40,,leaf,15,42,43,0.2907471148005669,0.2907471148005669,14,0.5317201656138578,0.8,0.48986249462033965,0.9722380658794799
10,40,,leaf,20,42,43,0.2907471148005669,0.2907471148005669,19,0.51830138068884,0.7868421052631579,0.4430681498412242,0.979600992059369
10,40,,leaf,25,42,43,0.2907471148005669,0.2907471148005669,24,0.5469280248981963,0.7854166666666667,0.4421707105495307,0.9839246367192889
10,40,,leaf,30,42,43,0.2907471148005669,0.2907471148005669,29,0.5533077751877368,0.7775862068965518,0.4364318741019877,0.9867176866355363
10,40,,eom,10,42,33,0.1712897347641223,0.1712897347641223,9,0.5313192830606855,0.7888888888888889,0.5143440825934696,0.9468705799337843
10,40,,eom,15,42,33,0.1712897347641223,0.1712897347641223,14,0.5168956314746654,0.7535714285714286,0.4635520739872026,0.9671631760502161
10,40,,eom,20,42,33,0.1712897347641223,0.1712897347641223,19,0.5228270326801885,0.75,0.43481198073457744,0.976026532273018
10,40,,eom,25,42,33,0.1712897347641223,0.1712897347641223,24,0.509470053318727,0.7520833333333333,0.41265169065298624,0.9810735546561965
10,40,,eom,30,42,33,0.1712897347641223,0.1712897347641223,29,0.5286843205514011,0.7275862068965517,0.3885299714173382,0.9842552933031229
15,8,,leaf,10,42,187,0.3290139704393602,0.3290139704393602,9,0.5016485743565428,0.8111111111111111,0.5347920375856201,0.9568997563246922
15,8,,leaf,15,42,187,0.3290139704393602,0.3290139704393602,14,0.5404135087793129,0.8428571428571429,0.5757192220878424,0.9726903062123249
15,8,,leaf,20,42,187,0.3290139704393602,0.3290139704393602,19,0.5199416583475388,0.8052631578947368,0.5116646894993648,0.9803776416359248
15,8,,leaf,25,42,187,0.3290139704393602,0.3290139704393602,24,0.5248008625700221,0.7958333333333333,0.5001553763242673,0.9844858429159679
15,8,,leaf,30,42,187,0.3290139704393602,0.3290139704393602,29,0.5375961120345438,0.8017241379310345,0.4958035318333272,0.987229672811724
15,8,,eom,10,42,161,0.244381453735574,0.244381453735574,9,0.5080112423915646,0.8222222222222222,0.5386935975029091,0.952765676477533
15,8,,eom,15,42,161,0.244381453735574,0.244381453735574,14,0.4860632227997018,0.7964285714285714,0.4768871441475207,0.9705914718725486
15,8,,eom,20,42,161,0.244381453735574,0.244381453735574,19,0.5318724486409067,0.8157894736842105,0.5013604900262774,0.9782876877663351
15,8,,eom,25,42,161,0.244381453735574,0.244381453735574,24,0.5667196943386927,0.8229166666666666,0.4906597185677724,0.982984010796072
15,8,,eom,30,42,161,0.244381453735574,0.244381453735574,29,0.5612758635714692,0.8120689655172414,0.488020787701489,0.9858420782216895
15,15,,leaf,10,42,111,0.3134237699939259,0.3134237699939259,9,0.5097642763969596,0.8166666666666667,0.5418183393962639,0.9571820303462307
15,15,,leaf,15,42,111,0.3134237699939259,0.3134237699939259,14,0.533183394167185,0.8285714285714286,0.5405358694641244,0.9726898090777103
15,15,,leaf,20,42,111,0.3134237699939259,0.3134237699939259,19,0.5527712129321426,0.8157894736842105,0.5022587746600934,0.980299054284557
15,15,,leaf,25,42,111,0.3134237699939259,0.3134237699939259,24,0.5734449075792899,0.8125,0.50377880700093,0.9843858866625954
15,15,,leaf,30,42,111,0.3134237699939259,0.3134237699939259,29,0.5781458385637464,0.8103448275862069,0.4822140888089049,0.9870397110890162
15,15,,eom,10,42,94,0.21907268677870015,0.21907268677870015,9,0.4800688972437234,0.8277777777777777,0.5446027043744263,0.9522434249186271
15,15,,eom,15,42,94,0.21907268677870015,0.21907268677870015,14,0.5432369858448918,0.8535714285714285,0.5633802573292546,0.9696793029450396
15,15,,eom,20,42,94,0.21907268677870015,0.21907268677870015,19,0.538167584203209,0.8394736842105263,0.5315460997481436,0.9777263280103423
15,15,,eom,25,42,94,0.21907268677870015,0.21907268677870015,24,0.5570112414617575,0.8229166666666666,0.5027753855309415,0.9824648801957977
15,15,,eom,30,42,94,0.21907268677870015,0.21907268677870015,29,0.5521443242799944,0.7913793103448276,0.4681487086142717,0.985488588479967
15,25,,leaf,10,42,62,0.30046568131200646,0.30046568131200646,9,0.5529997426707682,0.85,0.609523200727637,0.9550333641613707
15,25,,leaf,15,42,62,0.30046568131200646,0.30046568131200646,14,0.5481559273218838,0.8357142857142857,0.5471251583013683,0.9725788219125898
15,25,,leaf,20,42,62,0.30046568131200646,0.30046568131200646,19,0.5407881659771077,0.7894736842105263,0.4849952743040649,0.9797899405650046
15,25,,leaf,25,42,62,0.30046568131200646,0.30046568131200646,24,0.5461587515552666,0.76875,0.45463921970230503,0.9840408052146143
15,25,,leaf,30,42,62,0.30046568131200646,0.30046568131200646,29,0.5667205959394923,0.7896551724137931,0.4636666368520538,0.9869201815718059
15,25,,eom,10,42,51,0.24053452115812918,0.24053452115812918,9,0.531745806544262,0.85,0.5823449618267246,0.9528769663015453
15,25,,eom,15,42,51,0.24053452115812918,0.24053452115812918,14,0.5239588251558368,0.8142857142857143,0.5151976533730214,0.9705186089919937
15,25,,eom,20,42,51,0.24053452115812918,0.24053452115812918,19,0.539420441739685,0.8078947368421052,0.5010627012923706,0.9782181022411892
15,25,,eom,25,42,51,0.24053452115812918,0.24053452115812918,24,0.5488448533859672,0.7729166666666667,0.45301790555363564,0.9828732203481163
15,25,,eom,30,42,51,0.24053452115812918,0.24053452115812918,29,0.5657973509052239,0.7724137931034483,0.44153782153289556,0.9858463767737693
15,30,,leaf,10,42,54,0.3039076736181413,0.3039076736181413,9,0.5171236487993658,0.8611111111111112,0.5763240351165908,0.9569763073885371
15,30,,leaf,15,42,54,0.3039076736181413,0.3039076736181413,14,0.5124085510626648,0.8071428571428572,0.49202010949796626,0.9730540219161162
