strategy,threshold,seed,n_raw,outlier_pre,outlier_post,K,cv,div,excl,frex
c-tf-idf,0.0,42,41,0.3273942093541203,0.0,29,0.5216617211361979,0.6931034482758621,0.3699359810083634,0.9805958395807516
c-tf-idf,0.05,42,41,0.3273942093541203,0.007086454747924681,29,0.5807185796424723,0.7637931034482759,0.42993878820676223,0.9813204773743444
c-tf-idf,0.1,42,41,0.3273942093541203,0.13180805831139908,29,0.5983355472176425,0.7741379310344828,0.44827795586525354,0.9835882770694367
c-tf-idf,0.15,42,41,0.3273942093541203,0.25389755011135856,29,0.6048849118873347,0.7948275862068965,0.47616577533207677,0.9862164657521069
c-tf-idf,0.2,42,41,0.3273942093541203,0.30836201660255114,29,0.610076139071299,0.7913793103448276,0.48206109004411474,0.9872797608988887
c-tf-idf,0.3,42,41,0.3273942093541203,0.32597691840453535,29,0.609884265072656,0.7965517241379311,0.48506331395701624,0.9876492065697123
embeddings,0.0,42,41,0.3273942093541203,0.0,29,0.5066449538605299,0.6689655172413793,0.34417271871344707,0.980538808390003
embeddings,0.2,42,41,0.3273942093541203,0.0,29,0.5066449538605299,0.6689655172413793,0.34417271871344707,0.980538808390003
embeddings,0.3,42,41,0.3273942093541203,0.0,29,0.5066449538605299,0.6689655172413793,0.34417271871344707,0.980538808390003
embeddings,0.4,42,41,0.3273942093541203,0.0,29,0.5066449538605299,0.6689655172413793,0.34417271871344707,0.980538808390003
embeddings,0.5,42,41,0.3273942093541203,0.016805021259364245,29,0.5669807797042445,0.75,0.4129871194478228,0.981630289016762
embeddings,0.6,42,41,0.3273942093541203,0.16339339947357764,29,0.5895145179712787,0.7741379310344828,0.45162580501707267,0.9845498675644468
embeddings,0.7,42,41,0.3273942093541203,0.31038671795910105,29,0.6100654582789592,0.7896551724137931,0.47910554559785046,0.9873515957499073
embeddings,0.8,42,41,0.3273942093541203,0.3273942093541203,29,0.6099086301450596,0.7965517241379311,0.4842716620573673,0.9876804335173586
embeddings,0.9,42,41,0.3273942093541203,0.3273942093541203,29,0.6099086301450596,0.7965517241379311,0.4842716620573673,0.9876804335173586
probabilities,0.0,42,41,0.3273942093541203,0.0,29,0.4893461583745714,0.6724137931034483,0.34754151275382006,0.9806162898837966
probabilities,0.05,42,41,0.3273942093541203,0.10285482891273537,29,0.5776431792068606,0.7551724137931034,0.4304270349391369,0.9834811218385664
probabilities,0.1,42,41,0.3273942093541203,0.23952217047985422,29,0.5980575403486763,0.7844827586206896,0.46240500529125683,0.98610913783724
probabilities,0.15,42,41,0.3273942093541203,0.2901397043936019,29,0.6005443917288301,0.7862068965517242,0.4687488723690338,0.9869701108681459
probabilities,0.2,42,41,0.3273942093541203,0.3063373152460012,29,0.6069284338089079,0.7913793103448276,0.47711452797206455,0.9872805260717288
probabilities,0.3,42,41,0.3273942093541203,0.3197003441992306,29,0.6086098272537813,0.7948275862068965,0.48133193719053047,0.9875347304745314
distributions,0.0,42,41,0.3273942093541203,0.0,29,0.5194464137440533,0.6879310344827586,0.36852523640560025,0.9805140284121383
distributions,0.05,42,41,0.3273942093541203,0.0,29,0.5223469143884868,0.7034482758620689,0.37420500800683426,0.9806861392974868
distributions,0.1,42,41,0.3273942093541203,0.003441992306134845,29,0.5678055722237983,0.7603448275862069,0.4252241085744411,0.9812847639161244
distributions,0.15,42,41,0.3273942093541203,0.030775460619558614,29,0.5752438760593379,0.7689655172413793,0.43939891744992676,0.9816459101095044
distributions,0.2,42,41,0.3273942093541203,0.09617331443612068,29,0.5825001052909435,0.7586206896551724,0.42800000165178476,0.9827262765503352
distributions,0.3,42,41,0.3273942093541203,0.2642235270297631,29,0.6088748187674009,0.7896551724137931,0.47062507895569133,0.9863900107753774
