strategy,n_seeds,K,outlier_pre,outlier_post,C_v,Diversity,Exclus,FREX,Stability,Stab_std
off,5,29.0,0.3161,0.3161,0.5628,0.8031,0.4869,0.9871,0.5866,0.0582
c-tf-idf,5,29.8,0.3161,0.0,0.4368,0.6377,0.3415,0.9801,0.2036,0.0345
embeddings,5,29.8,0.3161,0.0,0.4315,0.6166,0.3208,0.9798,0.211,0.0202
probabilities,5,29.8,0.3161,0.0,0.4282,0.6043,0.3104,0.9798,0.2202,0.0218
distributions,5,29.8,0.3161,0.0,0.4335,0.6356,0.3412,0.9801,0.1938,0.0181
