macro_k,n_macros_real,subtopics_dist,min_subtopics,max_subtopics,docs_dist
4,4,"[13, 7, 2, 2]",2,13,"[2985, 821, 49, 26]"
5,5,"[9, 7, 4, 2, 2]",2,9,"[2215, 821, 770, 49, 26]"
6,6,"[9, 6, 4, 2, 2, 1]",1,9,"[2215, 800, 770, 49, 26, 21]"
7,7,"[9, 4, 4, 2, 2, 2, 1]",1,9,"[2215, 770, 491, 309, 49, 26, 21]"
8,8,"[9, 4, 3, 2, 2, 2, 1, 1]",1,9,"[2215, 754, 491, 309, 49, 26, 21, 16]"
10,10,"[8, 3, 2, 2, 2, 2, 2, 1, 1, 1]",1,8,"[2204, 754, 374, 309, 117, 49, 26, 21, 16, 11]"
12,12,"[8, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1]",1,8,"[2204, 754, 374, 309, 117, 37, 21, 16, 14, 12, 12, 11]"
