top_n,C_v,Topic_Diversity,Sem_Coherence,Exclusivity,FREX
10,0.62,0.9,0.6684,0.5486,0.9821
15,0.6046,0.8583,0.6595,0.5249,0.9819
20,0.5655,0.8042,0.6548,0.5009,0.9818
25,0.5315,0.7733,0.6512,0.4725,0.9816
30,0.5318,0.7569,0.6489,0.4614,0.9815
50,0.5318,0.4542,0.6489,0.4614,0.9815
100,0.5318,0.2271,0.6489,0.4614,0.9815
