n_neighbors,min_cluster_size,min_samples,reduce_nr,n_seeds,K,outlier_pre,outlier_post,C_v,Diversity,Exclus,FREX,Stability,Stab_std
10,8,,10,1,10.0,0.2909,0.0,0.3676,0.53,0.3165,0.9349,,
10,8,,15,1,15.0,0.2909,0.0,0.3602,0.5767,0.3501,0.9576,,
10,8,,20,1,20.0,0.2909,0.0,0.361,0.57,0.3361,0.9689,,
10,8,,25,1,25.0,0.2909,0.0,0.3667,0.612,0.3477,0.9754,,
10,8,,30,1,30.0,0.2909,0.0,0.3766,0.6367,0.3517,0.9797,,
10,15,,10,1,10.0,0.2995,0.0,0.3466,0.485,0.2279,0.9377,,
10,15,,15,1,15.0,0.2995,0.0,0.3742,0.5267,0.2696,0.9592,,
10,15,,20,1,19.0,0.2995,0.0,0.3734,0.5632,0.2794,0.9681,,
10,15,,25,1,24.0,0.2995,0.0,0.408,0.6312,0.3265,0.9749,,
10,15,,30,1,29.0,0.2995,0.0,0.4173,0.6483,0.3155,0.9795,,
10,25,,10,1,9.0,0.2859,0.0,0.3614,0.5667,0.2916,0.9318,,
10,25,,15,1,14.0,0.2859,0.0,0.3836,0.6,0.3094,0.9576,,
10,25,,20,1,19.0,0.2859,0.0,0.4132,0.6368,0.3236,0.9693,,
10,25,,25,1,24.0,0.2859,0.0,0.4458,0.6646,0.3439,0.9759,,
10,25,,30,1,29.0,0.2859,0.0,0.4515,0.6759,0.3381,0.9803,,
10,40,,10,1,10.0,0.2907,0.0,0.3557,0.6,0.3447,0.9388,,
10,40,,15,1,14.0,0.2907,0.0,0.3943,0.6286,0.3519,0.9578,,
10,40,,20,1,19.0,0.2907,0.0,0.4216,0.6632,0.3495,0.9698,,
10,40,,25,1,24.0,0.2907,0.0,0.4595,0.6625,0.3467,0.9764,,
10,40,,30,1,29.0,0.2907,0.0,0.5067,0.6759,0.3555,0.9807,,
15,8,,10,1,10.0,0.329,0.0,0.3413,0.57,0.3104,0.9357,,
15,8,,15,1,15.0,0.329,0.0,0.3715,0.58,0.3313,0.9585,,
15,8,,20,1,20.0,0.329,0.0,0.3922,0.605,0.3479,0.969,,
15,8,,25,1,25.0,0.329,0.0,0.4099,0.6,0.3214,0.9755,,
15,8,,30,1,30.0,0.329,0.0,0.408,0.6067,0.3041,0.9798,,
15,15,,10,1,10.0,0.3134,0.0,0.3859,0.56,0.2762,0.9376,,
15,15,,15,1,15.0,0.3134,0.0,0.4251,0.59,0.3238,0.9593,,
15,15,,20,1,20.0,0.3134,0.0,0.4572,0.5925,0.3157,0.9698,,
15,15,,25,1,25.0,0.3134,0.0,0.4694,0.61,0.3335,0.9762,,
15,15,,30,1,30.0,0.3134,0.0,0.475,0.6417,0.351,0.9802,,
15,25,,10,1,10.0,0.3005,0.0,0.3963,0.585,0.3117,0.9372,,
15,25,,15,1,15.0,0.3005,0.0,0.4109,0.5967,0.3064,0.9598,,
15,25,,20,1,20.0,0.3005,0.0,0.421,0.6325,0.319,0.9704,,
15,25,,25,1,25.0,0.3005,0.0,0.4653,0.654,0.322,0.9767,,
15,25,,30,1,30.0,0.3005,0.0,0.5006,0.68,0.3382,0.9807,,
15,40,,10,1,10.0,0.3195,0.0,0.3739,0.58,0.3211,0.9402,,
15,40,,15,1,15.0,0.3195,0.0,0.4146,0.6033,0.3172,0.961,,
15,40,,20,1,20.0,0.3195,0.0,0.4421,0.6425,0.3337,0.9713,,
15,40,,25,1,24.0,0.3195,0.0,0.4677,0.65,0.3456,0.9763,,
15,40,,30,1,29.0,0.3195,0.0,0.4966,0.6569,0.3349,0.9806,,
20,8,,10,1,10.0,0.3653,0.0,0.3619,0.465,0.245,0.9363,,
20,8,,15,1,15.0,0.3653,0.0,0.3948,0.5567,0.3049,0.9583,,
20,8,,20,1,20.0,0.3653,0.0,0.3724,0.575,0.2962,0.9695,,
20,8,,25,1,25.0,0.3653,0.0,0.3728,0.6,0.3017,0.9757,,
20,8,,30,1,30.0,0.3653,0.0,0.3805,0.6267,0.2983,0.98,,
20,15,,10,1,10.0,0.3373,0.0,0.3771,0.58,0.2845,0.9385,,
20,15,,15,1,15.0,0.3373,0.0,0.4121,0.6033,0.3109,0.9601,,
20,15,,20,1,19.0,0.3373,0.0,0.4554,0.6605,0.358,0.9688,,
20,15,,25,1,24.0,0.3373,0.0,0.4438,0.6854,0.3757,0.9755,,
20,15,,30,1,29.0,0.3373,0.0,0.4451,0.6983,0.3753,0.9797,,
20,25,,10,1,10.0,0.3189,0.0,0.3958,0.59,0.3348,0.9366,,
20,25,,15,1,15.0,0.3189,0.0,0.3926,0.6133,0.317,0.9602,,
20,25,,20,1,20.0,0.3189,0.0,0.4446,0.665,0.3449,0.9707,,
20,25,,25,1,25.0,0.3189,0.0,0.4424,0.678,0.3501,0.9772,,
20,25,,30,1,30.0,0.3189,0.0,0.4457,0.7,0.353,0.9811,,
20,40,,10,1,10.0,0.3274,0.0,0.3923,0.645,0.3854,0.939,,
20,40,,15,1,15.0,0.3274,0.0,0.4348,0.7133,0.4124,0.9614,,
20,40,,20,1,20.0,0.3274,0.0,0.4723,0.695,0.3955,0.9714,,
20,40,,25,1,24.0,0.3274,0.0,0.4861,0.6854,0.3687,0.9764,,
20,40,,30,1,29.0,0.3274,0.0,0.5217,0.6931,0.3699,0.9806,,
