strategy,seed,n_raw,outlier_pre,outlier_post,K,cv,div,excl,frex
off,42,111,0.3134237699939259,0.3134237699939259,29,0.5781458385637464,0.8103448275862069,0.4822140888089049,0.9870397110890162
c-tf-idf,42,111,0.3134237699939259,0.0,30,0.4750000230533232,0.6416666666666667,0.3510086166000378,0.9802482776165015
embeddings,42,111,0.3134237699939259,0.0,30,0.46250000624909926,0.6233333333333333,0.3359403534297531,0.9800756366145803
probabilities,42,111,0.3134237699939259,0.0,30,0.47253998288478744,0.6016666666666667,0.31454855995666564,0.980062393877461
distributions,42,111,0.3134237699939259,0.0,30,0.4754464010025922,0.6366666666666667,0.3502040105430591,0.9802359382803674
