n_neighbors,min_cluster_size,min_samples,reduce_nr,seed,n_raw,outlier_pre,outlier_post,K,cv,div,excl,frex
10,8,,10,42,207,0.2909495849362219,0.0,10,0.3676312925886748,0.53,0.3164640308259577,0.9348959315487869
10,8,,15,42,207,0.2909495849362219,0.0,15,0.36024376829261395,0.5766666666666667,0.3501438634175441,0.9575614368867019
10,8,,20,42,207,0.2909495849362219,0.0,20,0.3609702547784422,0.57,0.3361178066814728,0.9689089313219508
10,8,,25,42,207,0.2909495849362219,0.0,25,0.366710561816082,0.612,0.3477100401652023,0.975372557487916
10,8,,30,42,207,0.2909495849362219,0.0,30,0.37660008338596196,0.6366666666666667,0.3516931585662678,0.9797408234260497
10,15,,10,42,119,0.29945333063373153,0.0,10,0.34664099165461065,0.485,0.22785720577447396,0.9377275895436995
10,15,,15,42,119,0.29945333063373153,0.0,15,0.37415652843064334,0.5266666666666666,0.2696156582288984,0.9592125486793449
10,15,,20,42,119,0.29945333063373153,0.0,19,0.3734183581138506,0.5631578947368421,0.27943656601345096,0.9681043771816779
10,15,,25,42,119,0.29945333063373153,0.0,24,0.4079783168756215,0.63125,0.3265177861574971,0.9749267991823499
10,15,,30,42,119,0.29945333063373153,0.0,29,0.41730082463526136,0.6482758620689655,0.31549353984701795,0.9794646397400403
10,25,,10,42,64,0.28588783154484715,0.0,9,0.3613992208088246,0.5666666666666667,0.29159468287185314,0.9318028489969665
10,25,,15,42,64,0.28588783154484715,0.0,14,0.383645546536495,0.6,0.30943663182013165,0.9576397717122125
10,25,,20,42,64,0.28588783154484715,0.0,19,0.4132491450689694,0.6368421052631579,0.3236099305589695,0.9692653163679017
10,25,,25,42,64,0.28588783154484715,0.0,24,0.4457667387714168,0.6645833333333333,0.34391204182205487,0.9758605180505485
10,25,,30,42,64,0.28588783154484715,0.0,29,0.45150222665341855,0.6758620689655173,0.3380872288126926,0.9803393927481252
10,40,,10,42,43,0.2907471148005669,0.0,10,0.35565107448834327,0.6,0.3447237278839589,0.9387611151713715
10,40,,15,42,43,0.2907471148005669,0.0,14,0.39434812718028317,0.6285714285714286,0.3518899745081052,0.9577990182337733
