strategy,n_seeds,K,outlier_pre,outlier_post,C_v,Diversity,Exclus,FREX,Stability,Stab_std
off,1,29.0,0.3134,0.3134,0.5781,0.8103,0.4822,0.987,,
c-tf-idf,1,30.0,0.3134,0.0,0.475,0.6417,0.351,0.9802,,
embeddings,1,30.0,0.3134,0.0,0.4625,0.6233,0.3359,0.9801,,
probabilities,1,30.0,0.3134,0.0,0.4725,0.6017,0.3145,0.9801,,
distributions,1,30.0,0.3134,0.0,0.4754,0.6367,0.3502,0.9802,,
